,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,CAN FD controller for in-vehicle system,23,0.630299866,"[(11, 0.10741189), (14, 0.03486366), (23, 0.63029987), (35, 0.08670186), (38, 0.108306006)]"
1,Design of an area-efficient hardware filter for embedded system,11,0.41462931,"[(10, 0.03283855), (11, 0.4146293), (14, 0.18672203), (20, 0.08440482), (25, 0.056716338), (32, 0.035098158), (35, 0.16666065)]"
2,A low-power capacitive-feedback CMOS neural recording amplifier for biomedical applications,32,0.876866162,"[(32, 0.87686616), (34, 0.10202167)]"
3,"A low-power, low-noise neural recording amplifier for implantable biomedical devices",32,0.863338292,"[(1, 0.0314854), (22, 0.035483647), (32, 0.8633383), (34, 0.05584539)]"
4,Fragmentation of a jet with small radius,10,0.721280634,"[(1, 0.019337513), (3, 0.020665506), (6, 0.0388596), (10, 0.72128063), (13, 0.056737322), (32, 0.043090165), (37, 0.08445984)]"
5,Regularizing RMC images for locating mid-range point sources,13,0.324857652,"[(2, 0.021388557), (8, 0.07662618), (10, 0.078445904), (13, 0.32485765), (15, 0.02589213), (18, 0.040327642), (19, 0.034241486), (20, 0.050467502), (25, 0.02842414), (26, 0.21170247), (28, 0.026318448), (30, 0.06334252)]"
6,Rosin-Embedded Poly(acrylic acid) Binder for Silicon/Graphite Negative Electrode,27,0.518801749,"[(0, 0.09018632), (6, 0.07809582), (10, 0.025842942), (16, 0.017698394), (21, 0.045870125), (26, 0.016775107), (27, 0.51880175), (30, 0.04623004), (31, 0.089195006), (35, 0.026187198), (39, 0.036272015)]"
7,Minimum interference channel assignment algorithm for multicast in a wireless mesh network,36,0.575559318,"[(6, 0.15114583), (13, 0.04996199), (19, 0.03508233), (25, 0.03035587), (26, 0.0725864), (30, 0.013074632), (32, 0.062592514), (36, 0.5755593)]"
8,Mesoporous ceria-silica/poly(arylene ether sulfone) composite membranes for durability of fuel cell electrolyte membrane,27,0.425198048,"[(0, 0.041477654), (5, 0.010520219), (21, 0.21148074), (27, 0.42519805), (36, 0.039006475), (39, 0.24587086)]"
9,Prediction of reaction performance of pentafluoropropene hydrogenation for environmentally friendly refrigerant production,39,0.840984523,"[(1, 0.04100125), (7, 0.08101046), (39, 0.8409845)]"
10,Antioxidant and cellular protective effects against oxidative stress of Calendula officinalis flowers extracts in human skin cells,36,0.883850038,"[(26, 0.10197013), (36, 0.88385004)]"
11,Finite control set model predictive control with pulse width modulation for torque control of EV induction motors,22,0.430641979,"[(10, 0.10000667), (11, 0.38475046), (13, 0.047715403), (22, 0.43064195), (35, 0.024382463)]"
12,An adaptive virtual impedance based droop control scheme for parallel inverter operation in low voltage microgrid,11,0.468150258,"[(10, 0.11029556), (11, 0.4681503), (16, 0.120354205), (23, 0.062238365), (32, 0.11497045), (36, 0.11130293)]"
13,Design and control of hybrid a powered wheelchair for the elderly,13,0.318648487,"[(1, 0.08129214), (3, 0.12967107), (5, 0.026237901), (7, 0.21929595), (13, 0.3186485), (22, 0.062253453), (23, 0.05673886), (37, 0.0741461), (39, 0.019213011)]"
14,Technical developments and trends of earthquake resisting high-strength reinforcing steel bars,5,0.509774566,"[(5, 0.50977457), (12, 0.17378394), (13, 0.02194086), (14, 0.14475477), (19, 0.047990527), (21, 0.049820036), (30, 0.037947316)]"
